-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.339s       101.39%        1.339s     446.451ms           0 B           0 B           0 B           0 B             3  
                                            aten::copy_         1.84%      31.818ms         5.29%      91.156ms      43.720us     229.853ms        17.40%     229.853ms     110.241us           0 B           0 B           0 B           0 B          2085  
                                              aten::mul         1.70%      29.359ms         3.83%      66.042ms      52.415us     189.882ms        14.37%     189.882ms     150.700us           0 B           0 B      14.51 GB      14.51 GB          1260  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us     164.937ms        12.49%     164.937ms      54.979ms           0 B           0 B           0 B           0 B             3  
                                              aten::div         0.41%       7.124ms         0.63%      10.857ms      33.203us     153.894ms        11.65%     153.894ms     470.625us           0 B           0 B      17.32 GB      17.32 GB           327  
                                               aten::mm         1.92%      33.130ms         4.29%      73.910ms      96.615us     137.559ms        10.41%     137.559ms     179.816us           0 B           0 B       3.36 GB       3.36 GB           765  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     121.153ms         9.17%     121.153ms     841.338us           0 B           0 B           0 B           0 B           144  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     107.133ms         8.11%     107.133ms     283.420us           0 B           0 B           0 B           0 B           378  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      86.839ms         6.57%      86.839ms     118.632us           0 B           0 B           0 B           0 B           732  
                                             aten::add_         0.41%       7.089ms         1.44%      24.881ms      30.947us      80.155ms         6.07%      80.155ms      99.695us           0 B           0 B           0 B           0 B           804  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      80.010ms         6.06%      80.010ms      99.887us           0 B           0 B           0 B           0 B           801  
                                              aten::sum         0.45%       7.696ms         1.19%      20.578ms      69.992us      68.746ms         5.20%     109.928ms     373.906us           0 B           0 B      15.99 MB      -6.73 GB           294  
                                              aten::bmm         0.53%       9.218ms         0.70%      12.014ms      55.620us      59.583ms         4.51%      59.583ms     275.848us           0 B           0 B       3.81 GB       3.81 GB           216  
                                              aten::neg         0.07%       1.155ms         0.11%       1.937ms      26.903us      46.085ms         3.49%      46.085ms     640.072us           0 B           0 B       5.06 GB       5.06 GB            72  
         turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us      43.756ms         3.31%      43.756ms     171.591us           0 B           0 B           0 B           0 B           255  
                                            aten::where         0.16%       2.833ms         0.68%      11.742ms      81.544us      42.589ms         3.22%      85.318ms     592.489us           0 B           0 B       6.75 GB     -36.00 KB           144  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      42.589ms         3.22%      42.589ms     591.518us           0 B           0 B           0 B           0 B            72  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      41.183ms         3.12%      41.183ms       1.144ms           0 B           0 B           0 B           0 B            36  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      35.539ms         2.69%      35.539ms     329.067us           0 B           0 B           0 B           0 B           108  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      34.209ms         2.59%      34.209ms      58.179us           0 B           0 B           0 B           0 B           588  
                                    aten::_foreach_mul_         0.02%     349.822us         0.04%     615.459us     102.577us      33.901ms         2.57%      33.901ms       5.650ms           0 B           0 B           0 B           0 B             6  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      33.901ms         2.57%      33.901ms       2.825ms           0 B           0 B           0 B           0 B            12  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      33.062ms         2.50%      33.062ms     918.385us           0 B           0 B           0 B           0 B            36  
                                aten::_foreach_addcdiv_         0.01%     241.904us         0.02%     324.969us     108.323us      31.449ms         2.38%      31.449ms      10.483ms           0 B           0 B           0 B           0 B             3  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      31.449ms         2.38%      31.449ms       5.242ms           0 B           0 B           0 B           0 B             6  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.725s
Self CUDA time total: 1.321s
