-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         1.20%      20.632ms         1.20%      20.632ms      10.780us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      26.41 GB      26.41 GB          1914  
                                              aten::div         0.41%       7.124ms         0.63%      10.857ms      33.203us     153.894ms        11.65%     153.894ms     470.625us           0 B           0 B      17.32 GB      17.32 GB           327  
                                              aten::mul         1.70%      29.359ms         3.83%      66.042ms      52.415us     189.882ms        14.37%     189.882ms     150.700us           0 B           0 B      14.51 GB      14.51 GB          1260  
                                              aten::neg         0.07%       1.155ms         0.11%       1.937ms      26.903us      46.085ms         3.49%      46.085ms     640.072us           0 B           0 B       5.06 GB       5.06 GB            72  
                                              aten::bmm         0.53%       9.218ms         0.70%      12.014ms      55.620us      59.583ms         4.51%      59.583ms     275.848us           0 B           0 B       3.81 GB       3.81 GB           216  
                                          aten::resize_         0.03%     506.926us         0.03%     506.926us       6.499us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       3.39 GB       3.39 GB            78  
                                               aten::mm         1.92%      33.130ms         4.29%      73.910ms      96.615us     137.559ms        10.41%     137.559ms     179.816us           0 B           0 B       3.36 GB       3.36 GB           765  
                                            aten::empty         0.37%       6.434ms         0.37%       6.434ms      10.941us       0.000us         0.00%       0.000us       0.000us          12 B          12 B       1.72 GB       1.72 GB           588  
                                              aten::sub         0.05%     922.001us         0.08%       1.303ms      36.191us      17.623ms         1.33%      17.623ms     489.533us           0 B           0 B       1.69 GB       1.69 GB            36  
                                aten::nll_loss_backward         0.00%      76.754us         0.01%     216.176us      72.059us      44.991us         0.00%       5.343ms       1.781ms           0 B           0 B       1.15 GB       1.15 GB             3  
                                              aten::pow         0.39%       6.769ms         0.67%      11.514ms      51.172us       4.180ms         0.32%       8.360ms      37.155us           0 B           0 B     907.34 MB     907.34 MB           225  
                                               aten::eq         0.04%     728.965us         0.09%       1.509ms      41.930us      17.060ms         1.29%      17.060ms     473.880us           0 B           0 B     875.25 MB     875.25 MB            36  
                                              aten::add         0.29%       5.069ms         0.55%       9.522ms      43.477us      10.937ms         0.83%      10.937ms      49.939us           0 B           0 B     867.59 MB     867.59 MB           219  
                       aten::_log_softmax_backward_data         0.00%      59.919us         0.01%      93.652us      31.217us       9.891ms         0.75%       9.891ms       3.297ms           0 B           0 B     592.50 MB     592.50 MB             3  
                                     aten::_log_softmax         0.01%      94.526us         0.01%     138.412us      46.137us       9.340ms         0.71%       9.340ms       3.113ms           0 B           0 B     589.50 MB     589.50 MB             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.725s
Self CUDA time total: 1.321s
